;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
119;San Francisco;WCC;;19;14;69.9;56.4;13.58;;0.08;;3.80;-0.72;3.08;50.93;44.84;6.09
120;Northern Colorado;Big Sky;;22;13;65.9;59.0;6.91;;-1.60;;-1.18;4.20;3.02;59.52;50.54;8.98
121;Drexel;CAA;;20;11;57.5;55.1;2.48;;0.47;;-6.12;9.07;2.95;60.11;49.63;10.48
122;Tennessee-Martin;OVC;;22;11;72.6;65.0;7.61;;-4.65;;5.66;-2.71;2.95;67.16;57.36;9.80
123;Virginia Tech;ACC;;12;20;56.9;61.2;-4.25;;7.18;;-4.37;7.30;2.93;58.20;48.81;9.40
124;Old Dominion;CUSA;;21;13;62.7;60.9;1.79;;1.09;;-0.10;2.98;2.88;58.30;48.60;9.70
125;UC Riverside;Big West;;17;14;70.2;66.4;3.77;;-0.92;;5.10;-2.25;2.85;60.30;52.97;7.33
126;Toledo;MAC;;19;14;65.7;62.3;3.36;;1.53;;2.30;0.51;2.81;62.56;54.06;8.50
127;Western Michigan;MAC;;20;13;61.5;54.6;6.88;;0.31;;-3.72;6.48;2.76;53.93;45.52;8.41
128;Wyoming;MWC;;16;14;68.1;57.6;10.53;;-2.09;;0.57;2.16;2.73;55.02;47.73;7.29
129;Memphis;AAC;;14;17;58.4;62.3;-3.90;;6.52;;-3.25;5.87;2.62;56.10;47.50;8.60
130;Northern Iowa;MVC;;17;15;63.6;61.2;2.44;;-0.27;;-1.14;3.30;2.17;61.72;52.73;9.00
131;Youngstown State;Horizon;;21;11;68.9;60.6;8.34;;-1.15;;2.15;-0.26;1.88;62.19;54.90;7.29
132;Liberty;Big South;;26;7;67.2;57.8;9.36;;-7.82;;-0.80;2.35;1.55;62.75;52.02;10.73
133;New Mexico;MWC;;21;13;61.4;59.7;1.71;;-0.20;;-3.75;5.25;1.51;49.73;43.24;6.48
134;Maine;AEC;;23;9;61.1;54.5;6.56;;-5.28;;-5.87;7.15;1.28;61.74;52.82;8.92
135;Army;Patriot;;23;8;60.3;51.4;8.94;;-5.80;;-5.73;6.84;1.11;59.82;51.82;8.00
136;Eastern Washington;Big Sky;;21;12;69.2;61.2;7.91;;-2.45;;1.84;-0.77;1.07;55.10;48.37;6.73
137;Hampton;MEAC;;19;13;63.3;56.6;6.75;;-2.48;;-2.82;3.71;0.89;58.43;47.97;10.45
138;Marist;MAAC;;21;12;63.4;59.3;4.03;;-3.20;;-2.08;2.92;0.83;62.40;55.72;6.68
139;Louisiana Tech;CUSA;;16;15;70.1;67.6;2.48;;0.57;;6.14;-5.50;0.64;59.26;52.90;6.36
140;Missouri State;MVC;;18;15;67.5;67.1;0.42;;0.22;;4.29;-3.65;0.64;60.75;55.01;5.74
141;Saint Louis;A-10;;15;16;65.7;63.6;2.10;;0.57;;1.76;-1.29;0.47;58.53;52.24;6.29
142;Butler;Big East;;14;16;63.3;65.1;-1.87;;4.84;;0.05;0.41;0.46;58.10;52.08;6.02
143;Central Michigan;MAC;;13;18;65.7;68.2;-2.48;;2.87;;3.27;-2.89;0.39;63.02;57.66;5.36
144;Lehigh;Patriot;;19;12;68.7;62.4;6.39;;-3.67;;5.25;-4.88;0.36;63.59;57.82;5.78
