;;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;AP Rank;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
116;Troy;Sun Belt;;;19;11;80.3;75.5;4.83;;0.09;;15.71;-10.79;4.92;98.73;93.02;5.71
117;Illinois State;MVC;;;21;11;74.7;68.1;6.59;;-0.74;;5.77;-0.92;4.84;98.92;92.72;6.21
118;Southern Methodist;AAC;;;14;16;69.8;68.3;1.50;;3.29;;6.06;-1.27;4.79;97.37;91.08;6.28
119;Jackson State;SWAC;;;26;6;71.6;56.6;15.00;;-5.65;;1.61;3.13;4.73;94.58;87.45;7.14
120;Kentucky;SEC;;;12;20;64.4;74.4;-10.00;;14.69;;5.62;-0.93;4.69;95.62;89.56;6.06
121;Wyoming;MWC;;;16;14;62.9;59.7;3.13;;2.90;;-1.68;6.23;4.55;96.96;90.24;6.72
122;Memphis;AAC;;;13;17;67.6;69.3;-1.70;;6.16;;4.59;-0.14;4.46;91.02;85.09;5.94
123;Kent State;MAC;;;21;10;71.9;62.2;9.74;;-1.43;;4.74;-0.65;4.08;97.64;91.68;5.96
124;Rutgers;Big Ten;;;8;24;65.8;73.0;-7.16;;11.02;;4.79;-0.93;3.86;96.41;92.54;3.87
125;California Baptist;WAC;;;28;3;81.1;70.9;10.23;;-6.41;;12.10;-8.29;3.81;96.35;92.28;4.07
126;Charlotte;AAC;;;16;15;64.5;63.0;1.52;;2.26;;0.57;3.20;3.78;89.80;85.07;4.73
127;Northern Arizona;Big Sky;;;25;9;75.6;69.8;5.82;;-0.68;;11.24;-7.55;3.69;99.69;94.93;4.76
128;UC Irvine;Big West;;;23;8;63.2;55.0;8.16;;-4.68;;-2.99;6.48;3.49;91.58;86.19;5.39
129;UTSA;AAC;;;17;14;64.1;63.0;1.16;;2.27;;-0.67;4.10;3.43;90.76;86.05;4.71
130;Maine;AEC;;;24;9;64.3;56.3;7.97;;-4.99;;-1.49;4.47;2.98;94.88;90.22;4.66
131;Duquesne;A-10;;;20;12;69.6;66.9;2.69;;0.28;;5.81;-2.85;2.97;98.44;94.54;3.90
132;Old Dominion;Sun Belt;;;22;9;64.6;60.6;3.94;;-0.46;;-3.20;6.07;2.88;85.89;82.23;3.66
133;Boise State;MWC;;;21;13;64.0;58.0;6.00;;-1.60;;-1.65;4.46;2.81;89.80;86.09;3.71
134;Chattanooga;Southern;;;28;4;64.8;54.2;10.66;;-6.31;;-4.81;7.56;2.75;95.93;90.14;5.80
135;Pittsburgh;ACC;;;8;24;60.8;69.1;-8.31;;10.96;;0.04;2.61;2.65;91.98;89.55;2.43
136;Pacific;WCC;;;18;14;71.8;70.5;1.38;;3.03;;6.84;-4.42;2.42;94.42;90.86;3.55
137;Hawaii;Big West;;;20;10;59.5;56.0;3.50;;-1.16;;-4.40;6.74;2.34;91.10;87.58;3.52
138;Liberty;CUSA;;;18;16;65.7;66.7;-0.97;;4.53;;2.70;-0.51;2.19;99.07;95.87;3.20
139;Oral Roberts;Summit;;;21;10;81.8;74.8;7.00;;0.27;;12.30;-10.14;2.16;97.54;94.41;3.13
140;Norfolk State;MEAC;;;27;5;67.5;52.3;15.25;;-12.51;;-2.44;3.86;1.42;91.44;89.18;2.26
141;Southern Mississippi;Sun Belt;;;18;13;66.6;62.4;4.26;;-1.59;;-1.32;2.73;1.41;90.36;88.30;2.06
142;Tulane;AAC;;;12;20;64.4;65.6;-1.19;;2.59;;0.54;0.86;1.40;96.47;94.72;1.76
143;San Diego State;MWC;;;22;13;66.3;64.3;1.97;;0.11;;1.47;-0.09;1.38;93.40;91.77;1.63
144;South Dakota;Summit;;;21;12;71.2;64.2;6.91;;-1.23;;0.63;0.58;1.21;94.29;92.55;1.74
145;San Francisco;WCC;;;14;16;66.8;67.1;-0.30;;2.13;;1.42;-0.36;1.06;91.62;90.25;1.37
146;Lamar;Southland;;;24;6;67.3;57.3;10.00;;-6.17;;-1.98;3.02;1.04;94.43;92.25;2.18
147;New Mexico;MWC;;;21;11;64.7;60.8;3.94;;-2.42;;-1.49;2.36;0.87;89.25;87.99;1.27
148;Montana State;Big Sky;;;17;16;58.7;58.0;0.70;;0.15;;-5.71;6.56;0.84;85.50;84.43;1.08
149;Purdue Fort Wayne;Horizon;;;21;12;70.0;62.6;7.33;;-3.35;;-0.02;0.70;0.68;91.90;90.70;1.20
150;Louisiana-Monroe;Sun Belt;;;19;13;73.0;66.9;6.13;;-2.00;;4.01;-3.37;0.63;94.04;93.26;0.78
151;Saint Louis;A-10;;;16;18;72.8;71.6;1.24;;3.08;;7.74;-7.19;0.55;97.35;96.26;1.09
152;UAB;AAC;;;18;13;71.9;69.5;2.35;;-1.74;;6.76;-6.43;0.33;99.05;98.87;0.18
153;Southern Indiana;OVC;;;24;6;72.5;62.2;10.30;;-7.25;;1.51;-1.19;0.32;93.13;92.26;0.87
154;Illinois-Chicago;MVC;;;18;15;69.3;66.2;3.18;;-3.03;;0.26;-0.11;0.15;89.52;89.56;-0.03
155;Stephen F. Austin;WAC;;;22;12;75.6;68.6;7.00;;-2.84;;5.47;-5.40;0.07;93.53;93.20;0.33
156;Northwestern;Big Ten;;;9;21;66.1;80.3;-14.17;;14.17;;5.31;-5.30;0.00;96.78;96.89;-0.11
157;College of Charleston;CAA;;;21;9;75.5;62.5;13.00;;-8.61;;4.78;-5.14;-0.36;92.63;93.78;-1.15
158;Vermont;AEC;;;22;11;58.9;52.2;6.76;;-7.00;;-6.68;6.15;-0.53;92.66;92.27;0.40
